s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1702.6116832,-21.7064934,-56.5435088,2.7896388,0.0020128,50.1156749,-8.5142287
1704.6100537,-22.3916165,-58.4207666,2.7936719,0.0020236,49.7750108,-8.5348792
1706.6084242,-23.0691416,-60.3007764,2.7977264,0.0020343,49.4311643,-8.556293
1708.6067947,-23.7390172,-62.1835222,2.8018025,0.0020451,49.0840372,-8.5784819
1710.6051653,-24.4011951,-64.0689966,2.8059002,0.0020559,48.7335279,-8.6014602
1712.6035358,-25.0556194,-65.9571716,2.8100196,0.0020668,48.3795301,-8.6252319
1714.6019063,-25.7022386,-67.8480305,2.8141607,0.0020777,48.0219337,-8.6498103
1716.6002768,-26.341004,-69.7415655,2.8183236,0.0020886,47.6606238,-8.6752086
1718.5986473,-26.9718589,-71.637745,2.8225083,0.0020996,47.2954808,-8.7014335
1720.5970179,-27.5947515,-73.5365518,2.826715,0.0021106,46.9263798,-8.728499
1722.5953884,-28.2096328,-75.4379774,2.8309437,0.0021216,46.5531908,-8.7564174
1724.5937589,-28.8164451,-77.3419869,2.8351945,0.0021327,46.1757776,-8.7851991
1726.5921294,-29.4151365,-79.2485625,2.8394674,0.0021438,45.7939982,-8.8148564
1728.5904999,-30.0056575,-81.1576946,2.8437625,0.0021549,45.4077039,-8.8454032
1730.5888705,-30.5879497,-83.069345,2.8480799,0.002166,45.016739,-8.8768591
1732.587241,-31.1619611,-84.9834956,2.8524197,0.0021773,44.62094,-8.9092081
1734.5856115,-31.7276416,-86.9001354,2.8567819,0.0021885,44.2201367,-8.9425003
1736.583982,-32.2849321,-88.8192232,2.8611665,0.0021997,43.8141487,-8.9768252
1738.5823525,-32.8337809,-90.7407406,2.8655737,0.0022111,43.4027831,-9.0118919
1740.5807231,-33.3741365,-92.6646741,2.8700039,0.0022234,42.985851,-9.0462558
1742.5790936,-33.9059347,-94.5909823,2.8744632,0.0022395,42.5632217,-9.0750188
1744.5774641,-34.4291055,-96.5196526,2.8789581,0.0022607,42.1349895,-9.0959007
1746.5758346,-34.9435576,-98.4506668,2.8834988,0.0022815,41.7013595,-9.1190248
1748.5742051,-35.449204,-100.3839987,2.8880667,0.0022901,41.2620528,-9.1646657
1750.5725757,-35.9459958,-102.3196069,2.8926454,0.0022894,40.8157838,-9.2268631
1752.5709462,-36.4339371,-104.2575086,2.8972179,0.0022977,40.3615018,-9.2252544
1754.5693167,-36.9129408,-106.1976078,2.9018795,0.0023677,39.9021287,-9.1564964
1756.5676872,-37.3827542,-108.1399493,2.9066913,0.0024529,39.440889,-9.0823064
1758.5660577,-37.8430501,-110.0846119,2.9116857,0.0025454,38.9779951,-9.0145588
1760.5644283,-38.2934388,-112.0315503,2.9168646,0.0026378,38.5130529,-8.9526695
1762.5627988,-38.7335583,-113.9808346,2.9222282,0.0027303,38.0456797,-8.8967409
1764.5611693,-39.1630453,-115.9325349,2.9277769,0.0028229,37.5754677,-8.8468009
