s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1209.2803979,-171.5184065,-119.1019726,-1.0096928,0.0289484,19.5715026,-1.1506477
1211.2792085,-169.8573463,-117.9892866,-0.9513716,0.0292879,19.4536336,-0.9752468
1213.2780191,-168.2661364,-116.7828072,-0.8925413,0.03006,19.3531701,-0.2335073
1215.2768297,-166.7496461,-115.4820122,-0.8303932,0.0321189,19.3290383,-0.2335073
1217.2756402,-165.3185318,-114.0870014,-0.7660036,0.0321308,19.3048762,-0.2073578
1219.2744508,-163.9798694,-112.6029379,-0.7019622,0.0318174,19.2833946,-0.0636768
1221.2732614,-162.7384896,-111.0371664,-0.6389071,0.0313055,19.2767931,0.1347793
1223.272072,-161.5970791,-109.3962199,-0.5767267,0.0309266,19.2907633,0.2585984
1225.2708825,-160.5595394,-107.6883633,-0.5152429,0.0305609,19.3175394,0.3624401
1227.2696931,-159.628331,-105.9206911,-0.4546014,0.0302237,19.3550052,0.4435655
1229.2685037,-158.8055303,-104.0996028,-0.394102,0.0303028,19.4007586,0.3591185
1231.2673143,-158.0946178,-102.2326085,-0.3335542,0.0303104,19.4377224,0.311845
1233.2661248,-157.4977285,-100.3248409,-0.2728578,0.0304202,19.4697635,0.2316399
1235.2649354,-157.0179223,-98.3842286,-0.2118333,0.0306495,19.4935297,0.1157589
1237.263746,-156.657969,-96.418725,-0.1503378,0.0309154,19.5053957,0.0001125
1239.2625566,-156.4200361,-94.433958,-0.0881827,0.0312134,19.5054072,-0.1132665
1241.2613671,-156.3064023,-92.4386123,-0.0254774,0.0315315,19.4937968,-0.2197493
1243.2601777,-156.318366,-90.4397081,0.0374087,0.0314155,19.4712516,-0.1474849
1245.2589883,-156.4558146,-88.4453262,0.100175,0.0313288,19.4561057,-0.0958038
1247.2577989,-156.717718,-86.4645556,0.1627395,0.0312853,19.4462609,-0.0670906
1249.2566094,-157.1029736,-84.50337,0.225174,0.0312041,19.4393637,-0.0278792
1251.25542,-157.6098578,-82.5694034,0.2874074,0.0310015,19.4364968,0.0522069
1253.2542306,-158.2350773,-80.6720515,0.3491583,0.0307769,19.4418649,0.1305228
1255.2530412,-158.9756827,-78.8165945,0.4102445,0.0303458,19.4552793,0.2772934
1257.2518517,-159.8279706,-77.0099663,0.4716674,0.0312011,19.4837473,-0.0817217
1259.2506623,-160.7909126,-75.2600389,0.534568,0.031598,19.4753617,-0.2218465
1261.2494729,-161.863679,-73.5723082,0.5978779,0.0316692,19.4525797,-0.2202102
1263.2482835,-163.0395802,-71.9574875,0.6608168,0.031365,19.4299393,-0.076941
1265.247094,-164.3147566,-70.4190291,0.7233191,0.0312007,19.4220225,-0.0051232
1267.2459046,-165.6842681,-68.9621677,0.7856778,0.0311535,19.4214953,0.0133246
1269.2447152,-167.1411993,-67.5939656,0.8479112,0.0311509,19.4228666,0.0126305
