s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
399.6131966,124.717757,-366.5300699,1.9065278,-0.0311912,17.1729568,2.6170583
401.6112626,122.812539,-367.130185,1.8459255,-0.0294909,17.4747977,2.8035478
403.6093286,120.8745427,-367.6172024,1.7886008,-0.0278951,17.7924676,2.9713501
405.6073946,118.9128887,-367.9953686,1.7343744,-0.0264046,18.123074,3.1222453
407.6054606,116.9340384,-368.2695203,1.6830018,-0.025038,18.4640925,3.2508897
409.6035266,114.9435143,-368.4443767,1.6342544,-0.0237609,18.8125941,3.3694855
411.6015925,112.9473123,-368.5245371,1.5880179,-0.0225306,19.1671231,3.4931145
413.5996585,110.9495055,-368.5147821,1.5442189,-0.0213063,19.5278661,3.6367707
415.5977245,108.953557,-368.4199722,1.5028393,-0.0201117,19.8964964,3.7909401
417.5957905,106.9633222,-368.2450762,1.4638432,-0.0189299,20.2736199,3.962566
419.5938565,104.9810382,-367.9950259,1.4271765,-0.0177705,20.6604599,4.1478134
421.5919225,103.0088184,-367.6747426,1.3928119,-0.0166296,21.0577732,4.348805
423.5899884,101.0483899,-367.2891253,1.3607142,-0.0155027,21.4664438,4.5682099
425.5880544,99.1007645,-366.8429507,1.3308472,-0.0143925,21.8875165,4.8056557
427.5861204,97.1668891,-366.3409844,1.3031899,-0.0132943,22.3219044,4.9885829
429.5841864,95.24689,-365.7877908,1.2777184,-0.0122022,22.7640605,4.9761235
431.5822524,93.3409397,-365.1879457,1.2544171,-0.0111228,23.1967174,4.9636952
433.5803184,91.4490212,-364.5459712,1.2332667,-0.0100501,23.6203996,4.951298
435.5783843,89.5700319,-363.8660153,1.2142579,-0.0089759,24.0355844,4.9389317
437.5764503,87.7035864,-363.1524839,1.197389,-0.0079101,24.4427073,4.9265963
439.5745163,85.8490748,-362.4097147,1.1826473,-0.0068584,24.8421672,4.9142917
441.5725823,84.0043347,-361.6412822,1.1698639,-0.0059349,25.2343303,4.9020179
443.5706483,82.1690115,-360.8510876,1.1588954,-0.0050684,25.6195343,4.8897747
445.5687143,80.3423676,-360.042602,1.1495939,-0.0042412,25.9980907,4.877562
447.5667802,78.5218812,-359.2183547,1.1419942,-0.0033629,26.3702883,4.8653799
449.5648462,76.7074229,-358.382095,1.136141,-0.0025106,26.7363947,4.8532282
451.5629122,74.8972378,-357.536769,1.1319539,-0.0016849,27.0966593,4.8411069
453.5609782,73.089612,-356.6851643,1.1293366,-0.0009346,27.4513141,4.8290158
455.5590442,71.283667,-355.8302273,1.1282196,-0.0001834,27.8005761,4.816955
457.5571102,69.4781929,-354.9747034,1.1286038,0.0005596,28.1446481,4.8049242
459.5551761,67.6716438,-354.1210437,1.130314,0.0011523,28.4837204,4.7929235
461.5532421,65.8633276,-353.2714975,1.1328703,0.0011385,28.8179716,4.7809528
463.5513081,64.0529225,-352.4259225,1.1346498,0.0006243,29.1475694,4.769012
465.5493741,62.2417028,-351.5825095,1.1350647,-0.0002088,29.4726722,4.757101
467.5474401,60.4308349,-350.7383595,1.1338606,-0.0009611,29.7934289,4.7452197
469.5455061,58.6213353,-349.8906237,1.1312535,-0.0016526,30.1099806,-6.6261075
471.543572,56.8151261,-349.0370898,1.1271775,-0.0024271,29.667021,-9.7730857
473.541638,55.0128349,-348.1746763,1.1215167,-0.0032727,29.0013378,-9.1426559
475.539704,53.2158028,-347.3002827,1.1140724,-0.0041765,28.3644554,-8.5760072
477.53777,51.426769,-346.411247,1.1048355,-0.0050702,27.7537651,-8.0580402
479.535836,49.6465739,-345.5040028,1.093812,-0.0059659,27.1674527,-7.5844291
481.533902,47.8770183,-344.5754428,1.0809924,-0.0068638,26.6037987,-7.1490256
483.5319679,46.1209121,-343.6229958,1.0663775,-0.0077673,26.0613441,-6.7511799
485.5300339,44.379543,-342.6432691,1.0499545,-0.0086727,25.5385013,-6.3872389
487.5280999,42.6551763,-341.6333735,1.0317157,-0.0095812,25.0337931,-6.0536822
489.5261659,40.9509308,-340.5909402,1.0116626,-0.0104944,24.545865,-5.7489392
491.5242319,39.2686881,-339.5128584,0.9897787,-0.0114115,24.0733456,-5.4700404
493.5222979,37.6112967,-338.396586,0.9660536,-0.0123344,23.6149733,-5.2144023
495.5203638,35.9822792,-337.2400642,0.9404832,-0.0132651,23.1695819,-4.9851227
497.5184298,34.384297,-336.0406381,0.913045,-0.0141958,22.7356178,-4.7803982
499.5164958,32.8208937,-334.7963048,0.8837491,-0.0151279,22.3115489,-4.5816766
501.5145618,31.2960612,-333.5054791,0.8525616,-0.0160961,21.8974023,-4.3782447
503.5126278,29.8133834,-332.1661505,0.8194007,-0.0171223,21.4941896,-4.1604746
505.5106938,28.3773844,-330.7768584,0.784088,-0.0182271,21.1038949,-3.9400607
507.5087597,26.9930351,-329.3362835,0.7465205,-0.0193852,20.7275029,-3.7273156
509.5068257,25.6654697,-327.8431246,0.7066032,-0.0205719,20.3650321,-3.5185341
511.5048917,24.4004353,-326.2967141,0.6642859,-0.021793,20.016843,-3.3217263
513.5029577,23.2038592,-324.6966307,0.6195148,-0.0230263,19.6824782,-3.1203041
515.5010237,22.0822051,-323.0432614,0.5722283,-0.0243086,19.36313,-2.909549
517.4990897,21.0422454,-321.3375063,0.5223351,-0.0256466,19.0605315,-2.7833228
519.4971556,20.0907647,-319.5804608,0.4699152,-0.0267953,18.766495,-2.6661512
521.4952216,19.2348234,-317.7752435,0.4152024,-0.0279548,18.4804503,-2.5485317
523.4932876,18.4810886,-315.9252431,0.3581796,-0.0291497,18.2028232,-2.3781214
525.4913536,17.8361645,-314.0338155,0.2985814,-0.0305215,17.9398854,-2.1627342
527.4894196,17.3079837,-312.1073586,0.236107,-0.0320342,17.6973703,-1.8930116
529.4874856,16.9041548,-310.1510926,0.1704781,-0.0336941,17.4823394,-1.527686
531.4855515,16.6328221,-308.1712426,0.1012867,-0.0355878,17.3068586,-1.0860753
533.4836175,16.5029835,-306.178235,0.0281453,-0.0375979,17.1810144,-0.5843241
535.4816835,16.5230777,-304.1809945,-0.0489358,-0.039606,17.1129255,-0.2000053
537.4797495,16.7007618,-302.1911312,-0.1296239,-0.0410286,17.0895574,-0.1820784
539.4778155,17.0405576,-300.223538,-0.2125552,-0.0411911,17.068256,-0.1820784
541.4758815,17.5403211,-298.2895803,-0.2923982,-0.0387551,17.046928,0.5562362
543.4739474,18.1876643,-296.4003296,-0.3666774,-0.0354488,17.1120001,1.4368456
545.4720134,18.9674261,-294.5609276,-0.4341216,-0.032108,17.2789575,2.2271545
547.4700794,19.8636164,-292.7752482,-0.4951321,-0.0289828,17.5346051,2.8967302
549.4681454,20.8614817,-291.0447173,-0.5499336,-0.0258695,17.8616374,3.5472485
551.4662114,21.9477164,-289.3676495,-0.5985241,-0.0226625,18.2541328,4.2402944
553.4642774,23.1086281,-287.7414998,-0.6403012,-0.0191635,18.7125129,5.0709096
555.4623433,24.3308574,-286.1610437,-0.6750558,-0.0156115,19.2463546,5.0684861
557.4604093,25.6019292,-284.6193184,-0.7027113,-0.0120843,19.7655383,5.0558272
559.4584753,26.9098061,-283.1088043,-0.723376,-0.0086019,20.2701815,5.0431998
561.4565413,28.24348,-281.6209377,-0.7370611,-0.0050898,20.7613475,5.030604
563.4546073,29.592214,-280.1467161,-0.7437227,-0.0015943,21.2399742,5.0180397
565.4526733,30.9456039,-278.6768556,-0.743464,0.0018541,21.7068942,3.73415
567.4507392,32.2937446,-277.2018779,-0.7364496,0.005138,22.0479344,-8.4979965
569.4488052,33.6265482,-275.7132732,-0.7229383,0.0083702,21.263873,-7.3743377
571.4468712,34.9341873,-274.2026991,-0.7030243,0.0115686,20.5592672,-6.3787859
573.4449372,36.2068984,-272.6618934,-0.6767018,0.0147773,19.9297014,-5.4820565
575.4430032,37.4332147,-271.0846112,-0.643949,0.0179929,19.3722992,-4.6573733
577.4410692,38.6019215,-269.4644414,-0.6048001,0.0212114,18.885828,-3.9063178
579.4391351,39.7014026,-267.7955678,-0.5592541,0.0243557,18.4679273,-3.1401271
581.4372011,40.717812,-266.0761214,-0.507409,0.0275944,18.1250097,-2.3051204
583.4352671,41.6379311,-264.303193,-0.4488968,0.0309875,17.8690909,-1.0638534
585.4333331,42.4462889,-262.4763091,-0.3827883,0.0353371,17.7497355,-0.1997933
587.4313991,43.1237358,-260.5974165,-0.308273,0.0381748,17.7272308,-0.1959199
589.4294651,43.6568049,-258.6721959,-0.2319315,0.038281,17.7051346,-0.1959199
591.427531,44.0418615,-256.7119677,-0.1563991,0.0372022,17.6830107,0.1718501
593.425597,44.2802134,-254.7285448,-0.0832003,0.0359627,17.702418,0.5343212
595.423663,44.3755767,-252.7332687,-0.0127857,0.0345534,17.7626243,0.9008321
597.421729,44.333648,-250.736361,0.053958,0.0321784,17.8636689,1.5320996
599.419795,44.1634439,-248.746285,0.1160486,0.0303253,18.0342213,1.9339397
601.417861,43.8727195,-246.7691812,0.1755991,0.0292725,18.2472304,2.0452889
603.4159269,43.4671458,-244.8140037,0.233191,0.0284256,18.4698311,2.0898348
605.4139929,42.9509422,-242.8839164,0.2892287,0.0276774,18.6945424,2.1087198
607.4120589,42.3285427,-240.9845831,0.3438874,0.027028,18.9185792,2.1026255
609.4101249,41.6051883,-239.1231853,0.3971798,0.0263493,19.1393575,2.1188922
611.4081909,40.7844769,-237.3015247,0.4491698,0.0256268,19.359297,2.1612983
613.4062569,39.8713479,-235.5237889,0.4995735,0.0248224,19.5810933,2.2429842
615.4043228,38.8719045,-233.7946017,0.5482861,0.0239598,19.8086464,2.3533739
617.4023888,37.7903966,-232.1145414,0.5953632,0.0231696,20.0446219,2.4396369
619.4004548,36.6321074,-230.4861225,0.6409292,0.0224411,20.2863495,2.5074764
621.3985208,35.4025237,-228.9119558,0.6850619,0.0217508,20.5318334,2.5673323
623.3965868,34.1053164,-227.3922523,0.7278774,0.0211125,20.7801728,2.6134063
625.3946528,32.7450512,-225.9285115,0.7694736,0.0205266,21.0299572,2.6455302
